	index	avg	cond	id	texture	direction
10087	89	10.033333333333335	cold_november	f370b42e	Asphalt	0
10307	309	10.033333333333335	cold_november	f37116bc	Asphalt	0
10481	483	10.033333333333335	cold_november	f3716a9a	Asphalt	0
11257	1259	10.033333333333335	cold_november	f372b076	Asphalt	0
11665	1667	10.033333333333335	cold_november	f3739626	Asphalt	0
12805	2807	10.033333333333335	cold_november	f375e872	Asphalt	0
14005	4007	10.033333333333335	cold_november	f3788000	Asphalt	0
14395	4397	10.033333333333335	cold_november	f37928d4	Asphalt	0
15050	5052	10.033333333333335	cold_november	f37a2a7c	Asphalt	0
15335	5337	10.033333333333335	cold_november	f37a976e	Asphalt	0
15376	5378	10.033333333333335	cold_november	f37aa754	Asphalt	0
16867	6869	10.033333333333335	cold_november	f37d2a42	Asphalt	0
17090	7092	10.033333333333335	cold_november	f37d7dd0	Asphalt	0
19446	9448	10.033333333333335	cold_november	f385966e	Asphalt	0
19459	9461	10.033333333333335	cold_november	f3859b14	Asphalt	0
10424	426	10.011111111111113	cold_november	f3714da8	Asphalt	1
12034	2036	10.011111111111113	cold_november	f3749922	Asphalt	1
12983	2985	10.011111111111113	cold_november	f3762be8	Asphalt	1
14547	4549	10.011111111111113	cold_november	f3796916	Asphalt	1
15086	5088	10.011111111111113	cold_november	f37a380a	Asphalt	1
16632	6634	10.011111111111113	cold_november	f37cc462	Asphalt	1
17727	7729	10.011111111111113	cold_november	f37e75b4	Asphalt	1
18093	8095	10.011111111111113	cold_november	f37f0448	Asphalt	1
10189	191	9.98888888888889	cold_november	f370e0ac	Asphalt	2
10668	670	9.98888888888889	cold_november	f371b5fe	Asphalt	2
10834	836	9.98888888888889	cold_november	f371fb40	Asphalt	2
11631	1633	9.98888888888889	cold_november	f3737cae	Asphalt	2
11734	1736	9.98888888888889	cold_november	f373cb46	Asphalt	2
11745	1747	9.98888888888889	cold_november	f373dd84	Asphalt	2
11756	1758	9.98888888888889	cold_november	f373eb94	Asphalt	2
15728	5730	9.98888888888889	cold_november	f37b3138	Asphalt	2
15799	5801	9.98888888888889	cold_november	f37b4eb6	Asphalt	2
16942	6944	9.98888888888889	cold_november	f37d46da	Asphalt	2
17598	7600	9.98888888888889	cold_november	f37e4594	Asphalt	2
17990	7992	9.98888888888889	cold_november	f37ed6e4	Asphalt	2
19109	9111	9.98888888888889	cold_november	f3851892	Asphalt	2
10775	777	9.966666666666669	cold_november	f371e51a	Asphalt	3
13375	3377	9.966666666666669	cold_november	f3773236	Asphalt	3
14309	4311	9.966666666666669	cold_november	f379073c	Asphalt	3
14978	4980	9.966666666666669	cold_november	f37a0f88	Asphalt	3
16245	6247	9.966666666666669	cold_november	f37c2fca	Asphalt	3
16302	6304	9.966666666666669	cold_november	f37c4500	Asphalt	3
16816	6818	9.966666666666669	cold_november	f37d116a	Asphalt	3
18170	8172	9.966666666666669	cold_november	f37f20d6	Asphalt	3
10024	26	9.944444444444446	cold_november	f3709bce	Asphalt	4
10159	161	9.944444444444446	cold_november	f370d2e2	Asphalt	4
10860	862	9.944444444444446	cold_november	f372059a	Asphalt	4
11232	1234	9.944444444444446	cold_november	f372a6ee	Asphalt	4
11402	1404	9.944444444444446	cold_november	f372ea1e	Asphalt	4
11504	1506	9.944444444444446	cold_november	f3732146	Asphalt	4
11908	1910	9.944444444444446	cold_november	f37460d8	Asphalt	4
14273	4275	9.944444444444446	cold_november	f378ef22	Asphalt	4
14453	4455	9.944444444444446	cold_november	f3793e96	Asphalt	4
14753	4755	9.944444444444446	cold_november	f379b646	Asphalt	4
15229	5231	9.944444444444446	cold_november	f37a702c	Asphalt	4
16907	6909	9.944444444444446	cold_november	f37d3942	Asphalt	4
16912	6914	9.944444444444446	cold_november	f37d3b0e	Asphalt	4
17091	7093	9.944444444444446	cold_november	f37d7e34	Asphalt	4
17519	7521	9.944444444444446	cold_november	f37e27da	Asphalt	4
17832	7834	9.944444444444446	cold_november	f37e9c10	Asphalt	4
19990	9992	9.944444444444446	cold_november	f3866526	Asphalt	4
10096	98	9.922222222222224	cold_november	f370b906	Asphalt	5
12986	2988	9.922222222222224	cold_november	f3762d0a	Asphalt	5
13534	3536	9.922222222222224	cold_november	f3777886	Asphalt	5
14542	4544	9.922222222222224	cold_november	f3796740	Asphalt	5
10020	22	9.900000000000002	cold_november	f3709a34	Asphalt	6
10848	850	9.900000000000002	cold_november	f3720144	Asphalt	6
11952	1954	9.900000000000002	cold_november	f3747898	Asphalt	6
15856	5858	9.900000000000002	cold_november	f37b645a	Asphalt	6
16437	6439	9.900000000000002	cold_november	f37c7a52	Asphalt	6
16910	6912	9.900000000000002	cold_november	f37d3a50	Asphalt	6
17375	7377	9.900000000000002	cold_november	f37df062	Asphalt	6
18418	8420	9.900000000000002	cold_november	f38405ba	Asphalt	6
18791	8793	9.900000000000002	cold_november	f3849e4e	Asphalt	6
19400	9402	9.900000000000002	cold_november	f38584f8	Asphalt	6
19581	9583	9.900000000000002	cold_november	f385c99a	Asphalt	6
19655	9657	9.900000000000002	cold_november	f385e4ac	Asphalt	6
10272	274	9.87777777777778	cold_november	f371096a	Asphalt	7
11364	1366	9.87777777777778	cold_november	f372dbb4	Asphalt	7
12683	2685	9.87777777777778	cold_november	f375b5a0	Asphalt	7
13016	3018	9.87777777777778	cold_november	f3763818	Asphalt	7
